data.id,,kommentarnummer,analyse,post
1hwknl0,16,16.0,1.0,0
1hwknl0,17,17.0,0.0,0
1hwknl0,18,18.0,0.0,0
1hwknl0,19,19.0,1.0,0
1hwknl0,20,20.0,0.0,0
1hwknl0,21,21.0,0.0,0
1hwknl0,22,22.0,1.0,0
1hwknl0,23,23.0,-1.0,0
1hwknl0,24,24.0,-1.0,0
1hwknl0,25,25.0,-1.0,0
1hwknl0,26,26.0,0.0,0
1hwknl0,27,27.0,0.0,0
1hwknl0,28,28.0,1.0,0
1hwknl0,29,29.0,1.0,0
1hwknl0,30,30.0,-1.0,0
1hwknl0,31,31.0,1.0,0
1hwknl0,32,32.0,1.0,0
1hwknl0,33,33.0,1.0,0
1hwknl0,34,34.0,1.0,0
1hwknl0,35,35.0,1.0,0
1hwknl0,36,36.0,1.0,0
1hwknl0,37,37.0,1.0,0
1hwknl0,38,38.0,1.0,0
1hwknl0,39,39.0,1.0,0
1hwknl0,40,40.0,1.0,0
1hwknl0,41,41.0,-1.0,0
1hwknl0,42,42.0,1.0,0
1hwknl0,43,43.0,1.0,0
1hwknl0,44,44.0,0.0,0
1hwknl0,45,45.0,0.0,0
1hwknl0,46,46.0,1.0,0
1hwknl0,47,47.0,0.0,0
1hwknl0,48,48.0,1.0,0
1hwknl0,49,49.0,1.0,0
1hwknl0,50,50.0,0.0,0
1hwknl0,51,51.0,0.0,0
1hwknl0,52,52.0,0.0,0
1hwknl0,53,53.0,0.0,0
1hwknl0,54,54.0,1.0,0
1hwknl0,55,55.0,1.0,0
1hwknl0,56,56.0,0.0,0
1hwknl0,57,57.0,1.0,0
1hwknl0,58,58.0,-1.0,0
1hwknl0,59,59.0,-1.0,0
1hwknl0,60,60.0,1.0,0
1hwknl0,61,61.0,0.0,0
1hwknl0,62,62.0,0.0,0
1hwknl0,63,63.0,0.0,0
1hwknl0,64,64.0,0.0,0
1i3bp7w,0,1.0,1.0,0
1i3bp7w,1,3.0,0.0,0
1i3bp7w,2,5.0,1.0,0
1i3bp7w,3,6.0,1.0,0
1i3bp7w,4,8.0,0.0,0
1i3bp7w,5,11.0,1.0,0
1i3bp7w,6,13.0,1.0,0
1i3bp7w,7,20.0,-1.0,0
1i3bp7w,8,21.0,1.0,0
1i3bp7w,9,23.0,1.0,0
1i3bp7w,10,24.0,-1.0,0
1i3bp7w,11,27.0,-1.0,0
1i3bp7w,12,28.0,1.0,0
1i3bp7w,13,29.0,1.0,0
1i3bp7w,14,32.0,-1.0,0
1i3bp7w,15,33.0,-1.0,0
1i3bp7w,16,35.0,1.0,0
1i3bp7w,17,37.0,1.0,0
1i3bp7w,18,39.0,1.0,0
1i3bp7w,19,45.0,1.0,0
1i3bp7w,20,46.0,0.0,0
1i3bp7w,21,47.0,1.0,0
1i3bp7w,22,49.0,1.0,0
1i3bp7w,23,57.0,-1.0,0
1i5lkct,0,0.0,0.0,0
1i5lkct,1,1.0,0.0,0
1i5lkct,2,2.0,0.0,0
1i5lkct,3,3.0,-1.0,0
1i5lkct,4,4.0,0.0,0
1i5lkct,5,5.0,0.0,0
1i5lkct,6,6.0,-1.0,0
1i5lkct,7,7.0,0.0,0
1i5lkct,8,8.0,0.0,0
1i5lkct,9,9.0,0.0,0
1i5lkct,10,10.0,-1.0,0
1i5lkct,11,11.0,0.0,0
1i5lkct,12,12.0,1.0,0
1i5lkct,13,13.0,1.0,0
1i5lkct,14,14.0,0.0,0
1i5lkct,15,15.0,0.0,0
1i5lkct,16,16.0,0.0,0
1i5lkct,17,17.0,0.0,0
1i5lkct,18,18.0,-1.0,0
1i5lkct,19,19.0,1.0,0
1i5lkct,20,20.0,0.0,0
1i5lkct,21,21.0,0.0,0
1i5lkct,22,22.0,0.0,0
1i5lkct,23,23.0,0.0,0
1i5lkct,24,24.0,1.0,0
1i5lkct,25,25.0,-1.0,0
1i5lkct,26,26.0,0.0,0
1i5lkct,27,27.0,1.0,0
1i5lkct,28,28.0,-1.0,0
1i5lkct,29,29.0,1.0,0
1i5lkct,30,30.0,-1.0,0
1i5lkct,31,31.0,0.0,0
1i5lkct,32,32.0,-1.0,0
1i5lkct,33,33.0,0.0,0
1i5lkct,34,34.0,-1.0,0
1i5lkct,35,35.0,-1.0,0
1i5lkct,36,36.0,0.0,0
1i5lkct,37,37.0,0.0,0
1i5lkct,38,38.0,0.0,0
1i5lkct,39,39.0,0.0,0
1i5lkct,40,40.0,0.0,0
1i5lkct,41,41.0,0.0,0
1i5lkct,42,42.0,0.0,0
1i5lkct,43,43.0,0.0,0
1i5lkct,44,44.0,1.0,0
1i5lkct,45,45.0,0.0,0
1i5lkct,46,46.0,0.0,0
1i5lkct,47,47.0,-1.0,0
1i5lkct,48,48.0,0.0,0
1i5lkct,49,49.0,0.0,0
1i5lkct,50,50.0,0.0,0
1i5lkct,51,51.0,0.0,0
1i5lkct,52,52.0,0.0,0
1i5lkct,53,53.0,1.0,0
1i6i4ng,0,0.0,-1.0,0
1i6i4ng,1,1.0,0.0,0
1i6i4ng,2,2.0,0.0,0
1i6i4ng,3,3.0,0.0,0
1i6i4ng,4,4.0,1.0,0
1i6i4ng,5,5.0,-1.0,0
1i6i4ng,6,6.0,1.0,0
1i6i4ng,7,7.0,0.0,0
1i6i4ng,8,8.0,1.0,0
1i6i4ng,9,9.0,-1.0,0
1i6i4ng,10,10.0,1.0,0
1i6i4ng,11,11.0,0.0,0
1i6i4ng,12,12.0,-1.0,0
1i6i4ng,13,13.0,-1.0,0
1i6i4ng,14,14.0,0.0,0
1i6i4ng,15,15.0,1.0,0
1i6i4ng,16,16.0,1.0,0
1i6i4ng,17,17.0,-1.0,0
1i6i4ng,18,18.0,-1.0,0
1i6i4ng,19,19.0,0.0,0
1i6i4ng,20,20.0,0.0,0
1i6i4ng,21,21.0,0.0,0
1i6i4ng,22,22.0,0.0,0
1i6i4ng,23,23.0,1.0,0
1i6i4ng,24,24.0,-1.0,0
1i6i4ng,25,25.0,1.0,0
1i6i4ng,26,26.0,0.0,0
1i6i4ng,27,27.0,1.0,0
1i6i4ng,28,28.0,0.0,0
1i6i4ng,29,29.0,0.0,0
1i6i4ng,30,30.0,0.0,0
1i6i4ng,31,31.0,0.0,0
1i6i4ng,32,32.0,0.0,0
1i6i4ng,33,33.0,0.0,0
1i6i4ng,34,34.0,0.0,0
1i6i4ng,35,35.0,-1.0,0
1i6i4ng,36,36.0,0.0,0
1i6i4ng,37,37.0,1.0,0
1i6i4ng,38,38.0,1.0,0
1i6i4ng,39,39.0,1.0,0
1i6i4ng,40,40.0,0.0,0
1i6i4ng,41,41.0,1.0,0
1i6i4ng,42,42.0,1.0,0
1i6i4ng,43,43.0,1.0,0
1i6i4ng,44,44.0,0.0,0
1i6i4ng,45,45.0,0.0,0
1i6i4ng,46,46.0,-1.0,0
1i6i4ng,47,47.0,1.0,0
1i6i4ng,48,48.0,0.0,0
1i6i4ng,49,49.0,0.0,0
1i6i4ng,50,50.0,0.0,0
1i6i4ng,51,51.0,0.0,0
1i6i4ng,52,52.0,0.0,0
1i6i4ng,53,53.0,0.0,0
1i6i4ng,54,54.0,1.0,0
1i6i4ng,55,55.0,1.0,0
1i6i4ng,56,56.0,1.0,0
1i6i4ng,57,57.0,1.0,0
1i6i4ng,58,58.0,-1.0,0
1i6i4ng,59,59.0,1.0,0
1i6i4ng,60,60.0,1.0,0
1i6i4ng,61,61.0,1.0,0
1i6i4ng,62,62.0,0.0,0
1i6i4ng,63,63.0,0.0,0
1i6i4ng,64,64.0,0.0,0
1i6i4ng,65,65.0,0.0,0
1i6i4ng,66,66.0,0.0,0
1i6i4ng,67,67.0,0.0,0
1i6i4ng,68,68.0,1.0,0
1i6i4ng,69,69.0,1.0,0
1i6i4ng,70,70.0,0.0,0
1i6i4ng,71,71.0,0.0,0
1i6i4ng,72,72.0,0.0,0
1i6i4ng,73,73.0,0.0,0
1i6i4ng,74,74.0,1.0,0
1i6i4ng,75,75.0,1.0,0
1i6i4ng,76,76.0,-1.0,0
1i6i4ng,77,77.0,1.0,0
1i6i4ng,78,78.0,1.0,0
1i6i4ng,79,79.0,0.0,0
1i6i4ng,80,80.0,1.0,0
1i6i4ng,81,81.0,0.0,0
1i6i4ng,82,82.0,1.0,0
1i6i4ng,83,83.0,0.0,0
1i6i4ng,84,84.0,0.0,0
1i6i4ng,85,85.0,0.0,0
1i7zejl,0,0.0,-1.0,0
1i7zejl,1,1.0,-1.0,0
1i7zejl,2,2.0,-1.0,0
1i7zejl,3,3.0,-1.0,0
1i7zejl,4,4.0,0.0,0
1i7zejl,5,5.0,0.0,0
1i7zejl,6,6.0,-1.0,0
1i7zejl,7,7.0,-1.0,0
1i7zejl,8,8.0,-1.0,0
1i7zejl,9,9.0,-1.0,0
1i7zejl,10,10.0,-1.0,0
1i7zejl,11,11.0,0.0,0
1i7zejl,12,12.0,0.0,0
1i7zejl,13,13.0,1.0,0
1i7zejl,14,14.0,0.0,0
1i7zejl,15,15.0,0.0,0
1i7zejl,16,16.0,-1.0,0
1i7zejl,17,17.0,0.0,0
1i7zejl,18,18.0,-1.0,0
1i7zejl,19,19.0,1.0,0
1i7zejl,20,20.0,0.0,0
1i7zejl,21,21.0,-1.0,0
1i7zejl,22,22.0,-1.0,0
1i7zejl,23,23.0,-1.0,0
1i7zejl,24,24.0,-1.0,0
1i7zejl,25,25.0,-1.0,0
1i7zejl,26,26.0,0.0,0
1i7zejl,27,27.0,0.0,0
1i7zejl,28,28.0,0.0,0
1i7zejl,29,29.0,1.0,0
1i7zejl,30,30.0,-1.0,0
1i7zejl,31,31.0,-1.0,0
1i7zejl,32,32.0,0.0,0
1i7zejl,33,33.0,0.0,0
1i7zejl,34,34.0,0.0,0
1i7zejl,35,35.0,0.0,0
1i7zejl,36,36.0,-1.0,0
1i7zejl,37,37.0,-1.0,0
1i7zejl,38,38.0,1.0,0
1i7zejl,39,39.0,-1.0,0
1i7zejl,40,40.0,-1.0,0
1i7zejl,41,41.0,0.0,0
1i7zejl,42,42.0,-1.0,0
1i7zejl,43,43.0,-1.0,0
1i7zejl,44,44.0,0.0,0
1i7zejl,45,45.0,0.0,0
1i7zejl,46,46.0,0.0,0
1i7zejl,47,47.0,0.0,0
1i7zejl,48,48.0,0.0,0
1i7zejl,49,49.0,0.0,0
1i7zejl,50,50.0,-1.0,0
1i7zejl,51,51.0,0.0,0
1i7zejl,52,52.0,1.0,0
1i7zejl,53,53.0,0.0,0
1i7zejl,54,54.0,-1.0,0
1i7zejl,55,55.0,0.0,0
1i7zejl,56,56.0,1.0,0
1i7zejl,57,57.0,1.0,0
1i7zejl,58,58.0,0.0,0
1i7zejl,59,59.0,-1.0,0
1i7zejl,60,60.0,0.0,0
1i7zejl,61,61.0,0.0,0
1i7zejl,62,62.0,0.0,0
1i7zejl,63,63.0,1.0,0
1i7zejl,64,64.0,-1.0,0
1i7zejl,65,65.0,-1.0,0
1i7zejl,66,66.0,0.0,0
1i7zejl,67,67.0,-1.0,0
1i7zejl,68,68.0,0.0,0
1i7zejl,69,69.0,-1.0,0
1i7zejl,70,70.0,0.0,0
1i7zejl,71,71.0,1.0,0
1i7zejl,72,72.0,-1.0,0
1i7zejl,73,73.0,-1.0,0
1i7zejl,74,74.0,1.0,0
1i7zejl,75,75.0,-1.0,0
1i7zejl,76,76.0,0.0,0
1i7zejl,77,77.0,1.0,0
1i7zejl,78,78.0,-1.0,0
1i7zejl,79,79.0,0.0,0
1i7zejl,80,80.0,0.0,0
1i7zejl,81,81.0,-1.0,0
1i7zejl,82,82.0,-1.0,0
1i7zejl,83,83.0,-1.0,0
1i7zejl,84,84.0,-1.0,0
1i7zejl,85,85.0,-1.0,0
1i7zejl,86,86.0,-1.0,0
1i7zejl,87,87.0,-1.0,0
1i7zejl,88,88.0,-1.0,0
1i7zejl,89,89.0,-1.0,0
1i7zejl,90,90.0,-1.0,0
1i7zejl,91,91.0,-1.0,0
1i7zejl,92,92.0,-1.0,0
1i7zejl,93,93.0,-1.0,0
1i7zejl,94,94.0,0.0,0
1i7zejl,95,95.0,1.0,0
1i7zejl,96,96.0,1.0,0
1i7zejl,97,97.0,0.0,0
1i7zejl,98,98.0,1.0,0
1i7zejl,99,99.0,0.0,0
1i7zejl,100,100.0,0.0,0
1i7zejl,101,101.0,0.0,0
1i7zejl,102,102.0,0.0,0
1i7zejl,103,103.0,0.0,0
1i7zejl,104,104.0,1.0,0
1i7zejl,105,105.0,-1.0,0
1i7zejl,106,106.0,1.0,0
1i7zejl,107,107.0,1.0,0
1i7zejl,108,108.0,1.0,0
1i7zejl,109,109.0,0.0,0
1i7zejl,110,110.0,1.0,0
1i7zejl,111,111.0,0.0,0
1i7zejl,112,112.0,0.0,0
1i7zejl,113,113.0,1.0,0
1i7zejl,114,114.0,0.0,0
1i7zejl,115,115.0,0.0,0
1i7zejl,116,116.0,0.0,0
1i7zejl,117,117.0,-1.0,0
1i7zejl,118,118.0,1.0,0
1i7zejl,119,119.0,0.0,0
1i7zejl,120,120.0,0.0,0
1i7zejl,121,121.0,1.0,0
1i7zejl,122,122.0,0.0,0
1i7zejl,123,123.0,0.0,0
1i7zejl,124,124.0,0.0,0
1i7zejl,125,125.0,-1.0,0
1i7zejl,126,126.0,-1.0,0
1i7zejl,127,127.0,-1.0,0
1i7zejl,128,128.0,-1.0,0
1i7zejl,129,129.0,-1.0,0
1i7zejl,130,130.0,-1.0,0
1i7zejl,131,131.0,-1.0,0
1i7zejl,132,132.0,0.0,0
1i7zejl,133,133.0,0.0,0
1i7zejl,134,134.0,-1.0,0
1i7zejl,135,135.0,-1.0,0
1i7zejl,136,136.0,-1.0,0
1i7zejl,137,137.0,-1.0,0
1i7zejl,138,138.0,-1.0,0
1i7zejl,139,139.0,0.0,0
1i7zejl,140,140.0,0.0,0
1i7zejl,141,141.0,0.0,0
1i7zejl,142,142.0,-1.0,0
1i7zejl,143,143.0,0.0,0
1i7zejl,144,144.0,0.0,0
1i7zejl,145,145.0,-1.0,0
1i7zejl,146,146.0,1.0,0
1i7zejl,147,147.0,0.0,0
1i7zejl,148,148.0,0.0,0
1i7zejl,149,149.0,0.0,0
1i7zejl,150,150.0,0.0,0
1i7zejl,151,151.0,-1.0,0
1i7zejl,152,152.0,0.0,0
1i7zejl,153,153.0,0.0,0
1i7zejl,154,154.0,0.0,0
1i7zejl,155,155.0,0.0,0
1i7zejl,156,156.0,0.0,0
1i7zejl,157,157.0,0.0,0
1i7zejl,158,158.0,0.0,0
1i7zejl,159,159.0,0.0,0
1i7zejl,160,160.0,0.0,0
1i7zejl,161,161.0,0.0,0
1i7zejl,162,162.0,-1.0,0
1i7zejl,163,163.0,-1.0,0
1i7zejl,164,164.0,-1.0,0
1i7zejl,165,165.0,0.0,0
1i7zejl,166,166.0,0.0,0
1i7zejl,167,167.0,0.0,0
1i7zejl,168,168.0,-1.0,0
1i7zejl,169,169.0,0.0,0
1i7zejl,170,170.0,0.0,0
1i7zejl,171,171.0,0.0,0
1i7zejl,172,172.0,0.0,0
1i7zejl,173,173.0,-1.0,0
1i7zejl,174,174.0,-1.0,0
1i7zejl,175,175.0,0.0,0
1i7zejl,176,176.0,0.0,0
1i7zejl,177,177.0,0.0,0
1i7zejl,178,178.0,0.0,0
1i7zejl,179,179.0,0.0,0
1i7zejl,180,180.0,-1.0,0
1i7zejl,181,181.0,0.0,0
1i7zejl,182,182.0,0.0,0
1i7zejl,183,183.0,0.0,0
1i7zejl,184,184.0,0.0,0
1i7zejl,185,185.0,0.0,0
1i7zejl,186,186.0,0.0,0
1i8bt1e,0,0.0,-1.0,0
1i8bt1e,1,1.0,-1.0,0
1i8bt1e,2,2.0,1.0,0
1i8bt1e,3,3.0,0.0,0
1i8bt1e,4,4.0,1.0,0
1i8bt1e,5,5.0,1.0,0
1i8bt1e,6,6.0,1.0,0
1i8bt1e,7,8.0,0.0,0
1i8bt1e,8,9.0,0.0,0
1i8bt1e,9,10.0,0.0,0
1i8bt1e,10,11.0,0.0,0
1i8bt1e,11,15.0,0.0,0
1i8bt1e,12,16.0,0.0,0
1i8bt1e,13,23.0,1.0,0
1i8bt1e,14,24.0,0.0,0
1i8bt1e,15,31.0,1.0,0
1i8bt1e,16,35.0,1.0,0
1i8bt1e,17,37.0,-1.0,0
1i8bt1e,18,39.0,-1.0,0
1i8bt1e,19,40.0,-1.0,0
1i8bt1e,20,42.0,0.0,0
1i9ix4e,0,0.0,1.0,0
1i9ix4e,1,1.0,-1.0,0
1i9ix4e,2,2.0,1.0,0
1i9ix4e,3,3.0,0.0,0
1i9ix4e,4,4.0,1.0,0
1i9ix4e,5,5.0,0.0,0
1i9ix4e,6,6.0,0.0,0
1i9ix4e,7,7.0,0.0,0
1i9ix4e,8,8.0,-1.0,0
1i9ix4e,9,9.0,1.0,0
1i9ix4e,10,10.0,-1.0,0
1i9ix4e,11,11.0,1.0,0
1i9ix4e,12,12.0,0.0,0
1i9ix4e,13,13.0,-1.0,0
1i9ix4e,14,14.0,-1.0,0
1i9ix4e,15,15.0,1.0,0
1i9ix4e,16,16.0,1.0,0
1i9ix4e,17,17.0,0.0,0
1i9ix4e,18,18.0,0.0,0
1i9ix4e,19,19.0,1.0,0
1i9ix4e,20,20.0,0.0,0
1i9ix4e,21,21.0,-1.0,0
1i9ix4e,22,22.0,-1.0,0
1i9ix4e,23,23.0,1.0,0
1i9ix4e,24,24.0,1.0,0
1i9ix4e,25,25.0,0.0,0
1i9ix4e,26,26.0,0.0,0
1i9ix4e,27,27.0,0.0,0
1i9ix4e,28,28.0,1.0,0
1i9ix4e,29,29.0,1.0,0
1i9ix4e,30,30.0,0.0,0
1i9ix4e,31,31.0,0.0,0
1i9ix4e,32,32.0,1.0,0
1i9ix4e,33,33.0,0.0,0
1i9ix4e,34,34.0,0.0,0
1i9ix4e,35,35.0,0.0,0
1i9ix4e,36,36.0,0.0,0
1i9ix4e,37,37.0,-1.0,0
1i9ix4e,38,38.0,0.0,0
1i9ix4e,39,39.0,1.0,0
1i9ix4e,40,40.0,1.0,0
1i9ix4e,41,41.0,0.0,0
1i9ix4e,42,42.0,-1.0,0
1i9ix4e,43,43.0,-1.0,0
1i9ix4e,44,44.0,1.0,0
1i9ix4e,45,45.0,1.0,0
1i9ix4e,46,46.0,0.0,0
1i9ix4e,47,47.0,-1.0,0
1i9ix4e,48,48.0,1.0,0
1i9ix4e,49,49.0,0.0,0
1i9ix4e,50,50.0,0.0,0
1i9ix4e,51,51.0,0.0,0
1i9ix4e,52,52.0,0.0,0
1i9ix4e,53,53.0,0.0,0
1i9ix4e,54,54.0,-1.0,0
1i9ix4e,55,55.0,-1.0,0
1i9ix4e,56,56.0,1.0,0
1i9ix4e,57,57.0,1.0,0
1i9ix4e,58,58.0,1.0,0
1i9ix4e,59,59.0,0.0,0
1i9ix4e,60,60.0,0.0,0
1i9ix4e,61,61.0,1.0,0
1i9ix4e,62,62.0,1.0,0
1i9ix4e,63,63.0,1.0,0
1i9ix4e,64,64.0,0.0,0
1i9ix4e,65,65.0,-1.0,0
1i9ix4e,66,66.0,0.0,0
1i9ix4e,67,67.0,0.0,0
1i9ix4e,68,68.0,0.0,0
1i9ix4e,69,69.0,0.0,0
1i9ix4e,70,70.0,0.0,0
1i9ix4e,71,71.0,0.0,0
1i9ix4e,72,72.0,-1.0,0
1i9ix4e,73,73.0,1.0,0
1i9ix4e,74,74.0,-1.0,0
1i9ix4e,75,75.0,-1.0,0
1i9ix4e,76,76.0,0.0,0
1i9ix4e,77,77.0,0.0,0
1i9ix4e,78,78.0,0.0,0
1i9ix4e,79,79.0,0.0,0
1i9ix4e,80,80.0,0.0,0
1i9ix4e,81,81.0,0.0,0
1i9ix4e,82,82.0,0.0,0
1i9ix4e,83,83.0,0.0,0
1i9ix4e,84,84.0,1.0,0
1i9ix4e,85,85.0,0.0,0
1i9ix4e,86,86.0,1.0,0
1i9ix4e,87,87.0,-1.0,0
1i9ix4e,88,88.0,0.0,0
1i9ix4e,89,89.0,0.0,0
1i9ix4e,90,90.0,-1.0,0
1i9ix4e,91,91.0,-1.0,0
1i9ix4e,92,92.0,-1.0,0
1i9ix4e,93,93.0,0.0,0
1i9ix4e,94,94.0,-1.0,0
1i9ix4e,95,95.0,-1.0,0
1i9ix4e,96,96.0,1.0,0
1i9ix4e,97,97.0,0.0,0
1i9ix4e,98,98.0,0.0,0
1i9ix4e,99,99.0,0.0,0
1i9ix4e,100,100.0,1.0,0
1i9ix4e,101,101.0,-1.0,0
1i9ix4e,102,102.0,0.0,0
1i9ix4e,103,103.0,0.0,0
1i9ix4e,104,104.0,-1.0,0
1i9ix4e,105,105.0,0.0,0
1i9ix4e,106,106.0,1.0,0
1i9ix4e,107,107.0,0.0,0
1i9ix4e,108,108.0,0.0,0
1i9ix4e,109,109.0,-1.0,0
1i9ix4e,110,110.0,1.0,0
1i9ix4e,111,111.0,-1.0,0
1i9ix4e,112,112.0,1.0,0
1i9ix4e,113,113.0,0.0,0
1i9ix4e,114,114.0,1.0,0
1ib1wm2,0,0.0,0.0,0
1ib1wm2,1,1.0,0.0,0
1ib1wm2,2,2.0,1.0,0
1ib1wm2,3,3.0,1.0,0
1ib1wm2,4,4.0,0.0,0
1ib1wm2,5,5.0,0.0,0
1ib1wm2,6,6.0,-1.0,0
1ib1wm2,7,7.0,1.0,0
1ib1wm2,8,8.0,-1.0,0
1ib1wm2,9,9.0,1.0,0
1ib1wm2,10,10.0,0.0,0
1ib1wm2,11,11.0,-1.0,0
1ib1wm2,12,12.0,1.0,0
1ib1wm2,13,13.0,-1.0,0
1ib1wm2,14,14.0,1.0,0
1ib1wm2,15,15.0,0.0,0
1ib1wm2,16,16.0,0.0,0
1ib1wm2,17,17.0,1.0,0
1ib1wm2,18,18.0,1.0,0
1ib1wm2,19,19.0,-1.0,0
1ib1wm2,20,20.0,0.0,0
1ib1wm2,21,21.0,0.0,0
1ib1wm2,22,22.0,1.0,0
1ib1wm2,23,23.0,1.0,0
1ib1wm2,24,24.0,1.0,0
1ib1wm2,25,25.0,-1.0,0
1ib1wm2,26,26.0,0.0,0
1ib1wm2,27,27.0,-1.0,0
1ib1wm2,28,28.0,0.0,0
1ib1wm2,29,29.0,0.0,0
1ib1wm2,30,30.0,0.0,0
1ib1wm2,31,31.0,-1.0,0
1ib1wm2,32,32.0,0.0,0
1ib1wm2,33,33.0,0.0,0
1ib1wm2,34,34.0,-1.0,0
1ib1wm2,35,35.0,0.0,0
1ib1wm2,36,36.0,0.0,0
1ib1wm2,37,37.0,0.0,0
1ib1wm2,38,38.0,0.0,0
1ib1wm2,39,39.0,0.0,0
1ib1wm2,40,40.0,0.0,0
1icbs4i,0,0.0,1.0,0
1icbs4i,1,1.0,-1.0,0
1icbs4i,2,2.0,-1.0,0
1icbs4i,3,3.0,-1.0,0
1icbs4i,4,4.0,0.0,0
