"region";"boligtype";"kvartal";"statistikkvariabel";"07221: Prisindeks for brukte boliger, etter region, boligtype, kvartal og statistikkvariabel"
"TOTAL Hele landet";"00 Alle boligtyper";"1994K2";"Prisindeks for brukte boliger";21,2
"TOTAL Hele landet";"00 Alle boligtyper";"1994K2";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"1994K3";"Prisindeks for brukte boliger";22,1
"TOTAL Hele landet";"00 Alle boligtyper";"1994K3";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"1994K4";"Prisindeks for brukte boliger";22
"TOTAL Hele landet";"00 Alle boligtyper";"1994K4";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"1995K1";"Prisindeks for brukte boliger";22,1
"TOTAL Hele landet";"00 Alle boligtyper";"1995K1";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"1995K2";"Prisindeks for brukte boliger";23
"TOTAL Hele landet";"00 Alle boligtyper";"1995K2";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"1995K3";"Prisindeks for brukte boliger";23,4
"TOTAL Hele landet";"00 Alle boligtyper";"1995K3";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"1995K4";"Prisindeks for brukte boliger";23,7
"TOTAL Hele landet";"00 Alle boligtyper";"1995K4";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"1996K1";"Prisindeks for brukte boliger";23,9
"TOTAL Hele landet";"00 Alle boligtyper";"1996K1";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"1996K2";"Prisindeks for brukte boliger";25
"TOTAL Hele landet";"00 Alle boligtyper";"1996K2";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"1996K3";"Prisindeks for brukte boliger";25,5
"TOTAL Hele landet";"00 Alle boligtyper";"1996K3";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"1996K4";"Prisindeks for brukte boliger";26,1
"TOTAL Hele landet";"00 Alle boligtyper";"1996K4";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"1997K1";"Prisindeks for brukte boliger";26,5
"TOTAL Hele landet";"00 Alle boligtyper";"1997K1";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"1997K2";"Prisindeks for brukte boliger";28,4
"TOTAL Hele landet";"00 Alle boligtyper";"1997K2";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"1997K3";"Prisindeks for brukte boliger";28,6
"TOTAL Hele landet";"00 Alle boligtyper";"1997K3";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"1997K4";"Prisindeks for brukte boliger";29
"TOTAL Hele landet";"00 Alle boligtyper";"1997K4";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"1998K1";"Prisindeks for brukte boliger";30,2
"TOTAL Hele landet";"00 Alle boligtyper";"1998K1";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"1998K2";"Prisindeks for brukte boliger";32,1
"TOTAL Hele landet";"00 Alle boligtyper";"1998K2";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"1998K3";"Prisindeks for brukte boliger";31,8
"TOTAL Hele landet";"00 Alle boligtyper";"1998K3";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"1998K4";"Prisindeks for brukte boliger";30,9
"TOTAL Hele landet";"00 Alle boligtyper";"1998K4";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"1999K1";"Prisindeks for brukte boliger";32,1
"TOTAL Hele landet";"00 Alle boligtyper";"1999K1";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"1999K2";"Prisindeks for brukte boliger";34,7
"TOTAL Hele landet";"00 Alle boligtyper";"1999K2";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"1999K3";"Prisindeks for brukte boliger";35,4
"TOTAL Hele landet";"00 Alle boligtyper";"1999K3";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"1999K4";"Prisindeks for brukte boliger";36,7
"TOTAL Hele landet";"00 Alle boligtyper";"1999K4";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"2000K1";"Prisindeks for brukte boliger";38,9
"TOTAL Hele landet";"00 Alle boligtyper";"2000K1";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"2000K2";"Prisindeks for brukte boliger";41,5
"TOTAL Hele landet";"00 Alle boligtyper";"2000K2";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"2000K3";"Prisindeks for brukte boliger";40,3
"TOTAL Hele landet";"00 Alle boligtyper";"2000K3";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"2000K4";"Prisindeks for brukte boliger";40,3
"TOTAL Hele landet";"00 Alle boligtyper";"2000K4";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"2001K1";"Prisindeks for brukte boliger";41,7
"TOTAL Hele landet";"00 Alle boligtyper";"2001K1";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"2001K2";"Prisindeks for brukte boliger";43,5
"TOTAL Hele landet";"00 Alle boligtyper";"2001K2";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"2001K3";"Prisindeks for brukte boliger";43,5
"TOTAL Hele landet";"00 Alle boligtyper";"2001K3";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"2001K4";"Prisindeks for brukte boliger";43,4
"TOTAL Hele landet";"00 Alle boligtyper";"2001K4";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"2002K1";"Prisindeks for brukte boliger";44,8
"TOTAL Hele landet";"00 Alle boligtyper";"2002K1";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"2002K2";"Prisindeks for brukte boliger";46,4
"TOTAL Hele landet";"00 Alle boligtyper";"2002K2";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"2002K3";"Prisindeks for brukte boliger";44,9
"TOTAL Hele landet";"00 Alle boligtyper";"2002K3";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"2002K4";"Prisindeks for brukte boliger";44,6
"TOTAL Hele landet";"00 Alle boligtyper";"2002K4";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"2003K1";"Prisindeks for brukte boliger";45,6
"TOTAL Hele landet";"00 Alle boligtyper";"2003K1";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"2003K2";"Prisindeks for brukte boliger";45,9
"TOTAL Hele landet";"00 Alle boligtyper";"2003K2";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"2003K3";"Prisindeks for brukte boliger";45,8
"TOTAL Hele landet";"00 Alle boligtyper";"2003K3";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"2003K4";"Prisindeks for brukte boliger";46,4
"TOTAL Hele landet";"00 Alle boligtyper";"2003K4";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"2004K1";"Prisindeks for brukte boliger";49,8
"TOTAL Hele landet";"00 Alle boligtyper";"2004K1";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"2004K2";"Prisindeks for brukte boliger";50,6
"TOTAL Hele landet";"00 Alle boligtyper";"2004K2";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"2004K3";"Prisindeks for brukte boliger";50,7
"TOTAL Hele landet";"00 Alle boligtyper";"2004K3";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"2004K4";"Prisindeks for brukte boliger";51,3
"TOTAL Hele landet";"00 Alle boligtyper";"2004K4";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"2005K1";"Prisindeks for brukte boliger";53,4
"TOTAL Hele landet";"00 Alle boligtyper";"2005K1";"Prisindeks for brukte boliger, sesongjustert";53,2
"TOTAL Hele landet";"00 Alle boligtyper";"2005K2";"Prisindeks for brukte boliger";54,9
"TOTAL Hele landet";"00 Alle boligtyper";"2005K2";"Prisindeks for brukte boliger, sesongjustert";54
"TOTAL Hele landet";"00 Alle boligtyper";"2005K3";"Prisindeks for brukte boliger";55,4
"TOTAL Hele landet";"00 Alle boligtyper";"2005K3";"Prisindeks for brukte boliger, sesongjustert";55,2
"TOTAL Hele landet";"00 Alle boligtyper";"2005K4";"Prisindeks for brukte boliger";55,4
"TOTAL Hele landet";"00 Alle boligtyper";"2005K4";"Prisindeks for brukte boliger, sesongjustert";56,8
"TOTAL Hele landet";"00 Alle boligtyper";"2006K1";"Prisindeks for brukte boliger";58,9
"TOTAL Hele landet";"00 Alle boligtyper";"2006K1";"Prisindeks for brukte boliger, sesongjustert";58,7
"TOTAL Hele landet";"00 Alle boligtyper";"2006K2";"Prisindeks for brukte boliger";61,8
"TOTAL Hele landet";"00 Alle boligtyper";"2006K2";"Prisindeks for brukte boliger, sesongjustert";60,7
"TOTAL Hele landet";"00 Alle boligtyper";"2006K3";"Prisindeks for brukte boliger";63,8
"TOTAL Hele landet";"00 Alle boligtyper";"2006K3";"Prisindeks for brukte boliger, sesongjustert";63,6
"TOTAL Hele landet";"00 Alle boligtyper";"2006K4";"Prisindeks for brukte boliger";64,6
"TOTAL Hele landet";"00 Alle boligtyper";"2006K4";"Prisindeks for brukte boliger, sesongjustert";66,1
"TOTAL Hele landet";"00 Alle boligtyper";"2007K1";"Prisindeks for brukte boliger";68,6
"TOTAL Hele landet";"00 Alle boligtyper";"2007K1";"Prisindeks for brukte boliger, sesongjustert";68,4
"TOTAL Hele landet";"00 Alle boligtyper";"2007K2";"Prisindeks for brukte boliger";71,2
"TOTAL Hele landet";"00 Alle boligtyper";"2007K2";"Prisindeks for brukte boliger, sesongjustert";70
"TOTAL Hele landet";"00 Alle boligtyper";"2007K3";"Prisindeks for brukte boliger";71,1
"TOTAL Hele landet";"00 Alle boligtyper";"2007K3";"Prisindeks for brukte boliger, sesongjustert";70,9
"TOTAL Hele landet";"00 Alle boligtyper";"2007K4";"Prisindeks for brukte boliger";69,5
"TOTAL Hele landet";"00 Alle boligtyper";"2007K4";"Prisindeks for brukte boliger, sesongjustert";71,1
"TOTAL Hele landet";"00 Alle boligtyper";"2008K1";"Prisindeks for brukte boliger";71,1
"TOTAL Hele landet";"00 Alle boligtyper";"2008K1";"Prisindeks for brukte boliger, sesongjustert";71
"TOTAL Hele landet";"00 Alle boligtyper";"2008K2";"Prisindeks for brukte boliger";72
"TOTAL Hele landet";"00 Alle boligtyper";"2008K2";"Prisindeks for brukte boliger, sesongjustert";70,7
"TOTAL Hele landet";"00 Alle boligtyper";"2008K3";"Prisindeks for brukte boliger";69,6
"TOTAL Hele landet";"00 Alle boligtyper";"2008K3";"Prisindeks for brukte boliger, sesongjustert";69,4
"TOTAL Hele landet";"00 Alle boligtyper";"2008K4";"Prisindeks for brukte boliger";64,7
"TOTAL Hele landet";"00 Alle boligtyper";"2008K4";"Prisindeks for brukte boliger, sesongjustert";66,2
"TOTAL Hele landet";"00 Alle boligtyper";"2009K1";"Prisindeks for brukte boliger";67,4
"TOTAL Hele landet";"00 Alle boligtyper";"2009K1";"Prisindeks for brukte boliger, sesongjustert";67,3
"TOTAL Hele landet";"00 Alle boligtyper";"2009K2";"Prisindeks for brukte boliger";70,9
"TOTAL Hele landet";"00 Alle boligtyper";"2009K2";"Prisindeks for brukte boliger, sesongjustert";69,6
"TOTAL Hele landet";"00 Alle boligtyper";"2009K3";"Prisindeks for brukte boliger";72,2
"TOTAL Hele landet";"00 Alle boligtyper";"2009K3";"Prisindeks for brukte boliger, sesongjustert";72
"TOTAL Hele landet";"00 Alle boligtyper";"2009K4";"Prisindeks for brukte boliger";72,2
"TOTAL Hele landet";"00 Alle boligtyper";"2009K4";"Prisindeks for brukte boliger, sesongjustert";73,8
"TOTAL Hele landet";"00 Alle boligtyper";"2010K1";"Prisindeks for brukte boliger";74,6
"TOTAL Hele landet";"00 Alle boligtyper";"2010K1";"Prisindeks for brukte boliger, sesongjustert";74,7
"TOTAL Hele landet";"00 Alle boligtyper";"2010K2";"Prisindeks for brukte boliger";77,4
"TOTAL Hele landet";"00 Alle boligtyper";"2010K2";"Prisindeks for brukte boliger, sesongjustert";75,9
"TOTAL Hele landet";"00 Alle boligtyper";"2010K3";"Prisindeks for brukte boliger";77
"TOTAL Hele landet";"00 Alle boligtyper";"2010K3";"Prisindeks for brukte boliger, sesongjustert";76,8
"TOTAL Hele landet";"00 Alle boligtyper";"2010K4";"Prisindeks for brukte boliger";76,9
"TOTAL Hele landet";"00 Alle boligtyper";"2010K4";"Prisindeks for brukte boliger, sesongjustert";78,6
"TOTAL Hele landet";"00 Alle boligtyper";"2011K1";"Prisindeks for brukte boliger";80,9
"TOTAL Hele landet";"00 Alle boligtyper";"2011K1";"Prisindeks for brukte boliger, sesongjustert";80,9
"TOTAL Hele landet";"00 Alle boligtyper";"2011K2";"Prisindeks for brukte boliger";83,1
"TOTAL Hele landet";"00 Alle boligtyper";"2011K2";"Prisindeks for brukte boliger, sesongjustert";81,5
"TOTAL Hele landet";"00 Alle boligtyper";"2011K3";"Prisindeks for brukte boliger";83,4
"TOTAL Hele landet";"00 Alle boligtyper";"2011K3";"Prisindeks for brukte boliger, sesongjustert";83,2
"TOTAL Hele landet";"00 Alle boligtyper";"2011K4";"Prisindeks for brukte boliger";83
"TOTAL Hele landet";"00 Alle boligtyper";"2011K4";"Prisindeks for brukte boliger, sesongjustert";84,8
"TOTAL Hele landet";"00 Alle boligtyper";"2012K1";"Prisindeks for brukte boliger";86
"TOTAL Hele landet";"00 Alle boligtyper";"2012K1";"Prisindeks for brukte boliger, sesongjustert";86,1
"TOTAL Hele landet";"00 Alle boligtyper";"2012K2";"Prisindeks for brukte boliger";88,8
"TOTAL Hele landet";"00 Alle boligtyper";"2012K2";"Prisindeks for brukte boliger, sesongjustert";87,1
"TOTAL Hele landet";"00 Alle boligtyper";"2012K3";"Prisindeks for brukte boliger";89,3
"TOTAL Hele landet";"00 Alle boligtyper";"2012K3";"Prisindeks for brukte boliger, sesongjustert";89
"TOTAL Hele landet";"00 Alle boligtyper";"2012K4";"Prisindeks for brukte boliger";88,7
"TOTAL Hele landet";"00 Alle boligtyper";"2012K4";"Prisindeks for brukte boliger, sesongjustert";90,5
"TOTAL Hele landet";"00 Alle boligtyper";"2013K1";"Prisindeks for brukte boliger";91,4
"TOTAL Hele landet";"00 Alle boligtyper";"2013K1";"Prisindeks for brukte boliger, sesongjustert";91,5
"TOTAL Hele landet";"00 Alle boligtyper";"2013K2";"Prisindeks for brukte boliger";93,9
"TOTAL Hele landet";"00 Alle boligtyper";"2013K2";"Prisindeks for brukte boliger, sesongjustert";92,1
"TOTAL Hele landet";"00 Alle boligtyper";"2013K3";"Prisindeks for brukte boliger";92,1
"TOTAL Hele landet";"00 Alle boligtyper";"2013K3";"Prisindeks for brukte boliger, sesongjustert";91,8
"TOTAL Hele landet";"00 Alle boligtyper";"2013K4";"Prisindeks for brukte boliger";89,6
"TOTAL Hele landet";"00 Alle boligtyper";"2013K4";"Prisindeks for brukte boliger, sesongjustert";91,5
"TOTAL Hele landet";"00 Alle boligtyper";"2014K1";"Prisindeks for brukte boliger";91,7
"TOTAL Hele landet";"00 Alle boligtyper";"2014K1";"Prisindeks for brukte boliger, sesongjustert";91,8
"TOTAL Hele landet";"00 Alle boligtyper";"2014K2";"Prisindeks for brukte boliger";95,2
"TOTAL Hele landet";"00 Alle boligtyper";"2014K2";"Prisindeks for brukte boliger, sesongjustert";93,4
"TOTAL Hele landet";"00 Alle boligtyper";"2014K3";"Prisindeks for brukte boliger";95,3
"TOTAL Hele landet";"00 Alle boligtyper";"2014K3";"Prisindeks for brukte boliger, sesongjustert";95
"TOTAL Hele landet";"00 Alle boligtyper";"2014K4";"Prisindeks for brukte boliger";94,8
"TOTAL Hele landet";"00 Alle boligtyper";"2014K4";"Prisindeks for brukte boliger, sesongjustert";96,9
"TOTAL Hele landet";"00 Alle boligtyper";"2015K1";"Prisindeks for brukte boliger";98,3
"TOTAL Hele landet";"00 Alle boligtyper";"2015K1";"Prisindeks for brukte boliger, sesongjustert";98,4
"TOTAL Hele landet";"00 Alle boligtyper";"2015K2";"Prisindeks for brukte boliger";101,5
"TOTAL Hele landet";"00 Alle boligtyper";"2015K2";"Prisindeks for brukte boliger, sesongjustert";99,6
"TOTAL Hele landet";"00 Alle boligtyper";"2015K3";"Prisindeks for brukte boliger";101,1
"TOTAL Hele landet";"00 Alle boligtyper";"2015K3";"Prisindeks for brukte boliger, sesongjustert";100,7
"TOTAL Hele landet";"00 Alle boligtyper";"2015K4";"Prisindeks for brukte boliger";99,1
"TOTAL Hele landet";"00 Alle boligtyper";"2015K4";"Prisindeks for brukte boliger, sesongjustert";101,3
"TOTAL Hele landet";"00 Alle boligtyper";"2016K1";"Prisindeks for brukte boliger";102,8
"TOTAL Hele landet";"00 Alle boligtyper";"2016K1";"Prisindeks for brukte boliger, sesongjustert";102,9
"TOTAL Hele landet";"00 Alle boligtyper";"2016K2";"Prisindeks for brukte boliger";107,1
"TOTAL Hele landet";"00 Alle boligtyper";"2016K2";"Prisindeks for brukte boliger, sesongjustert";105,1
"TOTAL Hele landet";"00 Alle boligtyper";"2016K3";"Prisindeks for brukte boliger";109,1
"TOTAL Hele landet";"00 Alle boligtyper";"2016K3";"Prisindeks for brukte boliger, sesongjustert";108,7
"TOTAL Hele landet";"00 Alle boligtyper";"2016K4";"Prisindeks for brukte boliger";109,1
"TOTAL Hele landet";"00 Alle boligtyper";"2016K4";"Prisindeks for brukte boliger, sesongjustert";111,6
"TOTAL Hele landet";"00 Alle boligtyper";"2017K1";"Prisindeks for brukte boliger";113,2
"TOTAL Hele landet";"00 Alle boligtyper";"2017K1";"Prisindeks for brukte boliger, sesongjustert";113,3
"TOTAL Hele landet";"00 Alle boligtyper";"2017K2";"Prisindeks for brukte boliger";114,5
"TOTAL Hele landet";"00 Alle boligtyper";"2017K2";"Prisindeks for brukte boliger, sesongjustert";112,4
"TOTAL Hele landet";"00 Alle boligtyper";"2017K3";"Prisindeks for brukte boliger";111,8
"TOTAL Hele landet";"00 Alle boligtyper";"2017K3";"Prisindeks for brukte boliger, sesongjustert";111,4
"TOTAL Hele landet";"00 Alle boligtyper";"2017K4";"Prisindeks for brukte boliger";109,9
"TOTAL Hele landet";"00 Alle boligtyper";"2017K4";"Prisindeks for brukte boliger, sesongjustert";112,4
"TOTAL Hele landet";"00 Alle boligtyper";"2018K1";"Prisindeks for brukte boliger";112
"TOTAL Hele landet";"00 Alle boligtyper";"2018K1";"Prisindeks for brukte boliger, sesongjustert";112,1
"TOTAL Hele landet";"00 Alle boligtyper";"2018K2";"Prisindeks for brukte boliger";116,4
"TOTAL Hele landet";"00 Alle boligtyper";"2018K2";"Prisindeks for brukte boliger, sesongjustert";114,2
"TOTAL Hele landet";"00 Alle boligtyper";"2018K3";"Prisindeks for brukte boliger";115,1
"TOTAL Hele landet";"00 Alle boligtyper";"2018K3";"Prisindeks for brukte boliger, sesongjustert";114,6
"TOTAL Hele landet";"00 Alle boligtyper";"2018K4";"Prisindeks for brukte boliger";112,4
"TOTAL Hele landet";"00 Alle boligtyper";"2018K4";"Prisindeks for brukte boliger, sesongjustert";115
"TOTAL Hele landet";"00 Alle boligtyper";"2019K1";"Prisindeks for brukte boliger";115,4
"TOTAL Hele landet";"00 Alle boligtyper";"2019K1";"Prisindeks for brukte boliger, sesongjustert";115,6
"TOTAL Hele landet";"00 Alle boligtyper";"2019K2";"Prisindeks for brukte boliger";118,7
"TOTAL Hele landet";"00 Alle boligtyper";"2019K2";"Prisindeks for brukte boliger, sesongjustert";116,3
"TOTAL Hele landet";"00 Alle boligtyper";"2019K3";"Prisindeks for brukte boliger";117,8
"TOTAL Hele landet";"00 Alle boligtyper";"2019K3";"Prisindeks for brukte boliger, sesongjustert";117,3
"TOTAL Hele landet";"00 Alle boligtyper";"2019K4";"Prisindeks for brukte boliger";115,3
"TOTAL Hele landet";"00 Alle boligtyper";"2019K4";"Prisindeks for brukte boliger, sesongjustert";118,1
"TOTAL Hele landet";"00 Alle boligtyper";"2020K1";"Prisindeks for brukte boliger";117,6
"TOTAL Hele landet";"00 Alle boligtyper";"2020K1";"Prisindeks for brukte boliger, sesongjustert";117,9
"TOTAL Hele landet";"00 Alle boligtyper";"2020K2";"Prisindeks for brukte boliger";121,9
"TOTAL Hele landet";"00 Alle boligtyper";"2020K2";"Prisindeks for brukte boliger, sesongjustert";119,3
"TOTAL Hele landet";"00 Alle boligtyper";"2020K3";"Prisindeks for brukte boliger";123,6
"TOTAL Hele landet";"00 Alle boligtyper";"2020K3";"Prisindeks for brukte boliger, sesongjustert";123
"TOTAL Hele landet";"00 Alle boligtyper";"2020K4";"Prisindeks for brukte boliger";124
"TOTAL Hele landet";"00 Alle boligtyper";"2020K4";"Prisindeks for brukte boliger, sesongjustert";127,2
"TOTAL Hele landet";"00 Alle boligtyper";"2021K1";"Prisindeks for brukte boliger";130,7
"TOTAL Hele landet";"00 Alle boligtyper";"2021K1";"Prisindeks for brukte boliger, sesongjustert";131,1
"TOTAL Hele landet";"00 Alle boligtyper";"2021K2";"Prisindeks for brukte boliger";137
"TOTAL Hele landet";"00 Alle boligtyper";"2021K2";"Prisindeks for brukte boliger, sesongjustert";133,8
"TOTAL Hele landet";"00 Alle boligtyper";"2021K3";"Prisindeks for brukte boliger";136,5
"TOTAL Hele landet";"00 Alle boligtyper";"2021K3";"Prisindeks for brukte boliger, sesongjustert";135,8
"TOTAL Hele landet";"00 Alle boligtyper";"2021K4";"Prisindeks for brukte boliger";133,9
"TOTAL Hele landet";"00 Alle boligtyper";"2021K4";"Prisindeks for brukte boliger, sesongjustert";137,6
"TOTAL Hele landet";"00 Alle boligtyper";"2022K1";"Prisindeks for brukte boliger";140,1
"TOTAL Hele landet";"00 Alle boligtyper";"2022K1";"Prisindeks for brukte boliger, sesongjustert";140,5
"TOTAL Hele landet";"00 Alle boligtyper";"2022K2";"Prisindeks for brukte boliger";145,7
"TOTAL Hele landet";"00 Alle boligtyper";"2022K2";"Prisindeks for brukte boliger, sesongjustert";142,2
"TOTAL Hele landet";"00 Alle boligtyper";"2022K3";"Prisindeks for brukte boliger";143,1
"TOTAL Hele landet";"00 Alle boligtyper";"2022K3";"Prisindeks for brukte boliger, sesongjustert";142,4
"TOTAL Hele landet";"00 Alle boligtyper";"2022K4";"Prisindeks for brukte boliger";137,4
"TOTAL Hele landet";"00 Alle boligtyper";"2022K4";"Prisindeks for brukte boliger, sesongjustert";141,4
"TOTAL Hele landet";"00 Alle boligtyper";"2023K1";"Prisindeks for brukte boliger";140
"TOTAL Hele landet";"00 Alle boligtyper";"2023K1";"Prisindeks for brukte boliger, sesongjustert";140,3
"TOTAL Hele landet";"00 Alle boligtyper";"2023K2";"Prisindeks for brukte boliger";145,5
"TOTAL Hele landet";"00 Alle boligtyper";"2023K2";"Prisindeks for brukte boliger, sesongjustert";141,8
"TOTAL Hele landet";"00 Alle boligtyper";"2023K3";"Prisindeks for brukte boliger";141,3
"TOTAL Hele landet";"00 Alle boligtyper";"2023K3";"Prisindeks for brukte boliger, sesongjustert";140,6
"TOTAL Hele landet";"00 Alle boligtyper";"2023K4";"Prisindeks for brukte boliger";136,4
"TOTAL Hele landet";"00 Alle boligtyper";"2023K4";"Prisindeks for brukte boliger, sesongjustert";140,5
"TOTAL Hele landet";"00 Alle boligtyper";"2024K1";"Prisindeks for brukte boliger";141,7
"TOTAL Hele landet";"00 Alle boligtyper";"2024K1";"Prisindeks for brukte boliger, sesongjustert";141,9
"TOTAL Hele landet";"00 Alle boligtyper";"2024K2";"Prisindeks for brukte boliger";147,7
"TOTAL Hele landet";"00 Alle boligtyper";"2024K2";"Prisindeks for brukte boliger, sesongjustert";143,9
"TOTAL Hele landet";"00 Alle boligtyper";"2024K3";"Prisindeks for brukte boliger";145,9
"TOTAL Hele landet";"00 Alle boligtyper";"2024K3";"Prisindeks for brukte boliger, sesongjustert";145,2
"TOTAL Hele landet";"00 Alle boligtyper";"2024K4";"Prisindeks for brukte boliger";143
"TOTAL Hele landet";"00 Alle boligtyper";"2024K4";"Prisindeks for brukte boliger, sesongjustert";147,3
"TOTAL Hele landet";"00 Alle boligtyper";"2025K1";"Prisindeks for brukte boliger";150,9
"TOTAL Hele landet";"00 Alle boligtyper";"2025K1";"Prisindeks for brukte boliger, sesongjustert";151,1
"TOTAL Hele landet";"00 Alle boligtyper";"2025K2";"Prisindeks for brukte boliger";154,4
